2,165,1,»MUS,Poslaneck˝ klub »eskomoravskÈ unie st¯edu,Czech and Moravian Central Union,06/06/1992,06/06/1996,,0
3,165,1,»SSD,Poslaneck˝ klub »eskÈ strany soci·lnÏ demokratickÈ,Political group Czech Social Democratic Party,06/06/1992,06/06/1996,,0
4,165,1,HSDMS,Poslaneck˝ klub HnutÌ za samospr·vnou demokracii Moravy a Slezska,Movement for Self-Governing Democracy for Moravia and Silesia,06/06/1992,14/02/1994,,0
5,165,1,HSD-SMS,Poslaneck˝ klub HnutÌ za samospr·vnou demokracii - strany Moravy a Slezska,Movement for Self-Governing Democracy for Moravia and Silesia,06/06/1992,05/04/1994,,0
575,89,4,DROP,Podv˝bor pro oblast drogovÈ problematiky,,21/03/2001,20/06/2002,,0
576,89,4,ZI,Podv˝bor pro zdravotnÌ informatiku,,21/03/2001,20/06/2002,,0
577,0,42,DR »KA,DozorËÌ rada »eskÈ konsolidaËnÌ agentury,The Supervisory Board of the Czech Consolidation Agency,01/09/2001,31/12/2007,,0
1096,987,78,PSPC,PracovnÌ skupina k problematice pr˘vodcovskÈ Ëinnosti, ,21/09/2012,28/08/2013,,0
6,165,1,KDS,Poslaneck˝ klub K¯esùansko demokratickÈ strany,Christian Democratic Party,06/06/1992,31/03/1996,,0
8,165,1,KDU-»SL,Poslaneck˝ klub K¯esùanskÈ a demokratickÈ unie - »eskoslovenskÈ strany lidovÈ,Political group Christian Democratic Union - Czechoslovak People's Party,06/06/1992,06/06/1996,,0
9,165,1,KS»M,Poslaneck˝ klub KomunistickÈ strany »ech a Moravy,Political group Communist Party of Bohemia and Moravia,19/01/1994,06/06/1996,,0
10,165,1,LB,Poslaneck˝ klub LevÈho bloku,The Left Block,06/06/1992,06/06/1996,,0
579,0,74,KEU,Konvent k budoucnosti Evropy, ,05/02/2002,18/04/2003,500,1
580,0,42,DR VF,DozorËÌ rada Vina¯skÈho fondu,The Supervisory Board of the Viticultural Fund,27/03/2002,,,0
581,0,75,PH,HlavnÌ mÏsto Praha,Capital Prague,01/06/2002,,,0
728,608,4,PVEV,Podv˝bor pro vnÏjöÌ ekonomickÈ vztahy,Subcommittee on Foreign Economic Relations,19/02/2004,19/02/2004,,0
11,165,1,LSNS,Poslaneck˝ klub Liber·lnÌ strany n·rodnÏ soci·lnÌ,Liberal National Social Party,20/11/1992,27/02/1996,,0
12,165,1,LSU,Poslaneck˝ klub Liber·lnÏ soci·lnÌ unie,Liberal Social Union,06/06/1992,26/12/1994,,0
14,165,1,ODA,Poslaneck˝ klub ObËanskÈ demokratickÈ aliance,Civic Democratic Alliance,06/06/1992,06/06/1996,,0
15,165,1,ODS,Poslaneck˝ klub ObËanskÈ demokratickÈ strany,Political group Civic Democratic Party,06/06/1992,06/06/1996,,0
582,0,75,SC,St¯edoËesk˝,Central Bohemia,01/06/2002,,,0
