1,Ing.,Bachna,Petr, ,08/01/1948,M,,
2,Ing.,Bečvář,Ivan, ,19/01/1934,M,,
3, ,Bejček,Josef, ,03/03/1935,M,,
4, ,Benda,Marek, ,10/11/1968,M,07/12/1998,
5,Ing.,Bělehrádek,Stanislav, ,10/12/1943,M,,
6,JUDr.,Bílý,Jiří, ,18/10/1952,M,,
7, ,Blažek,Ladislav, ,23/02/1950,M,,
8, ,Bláha,Jan, ,17/03/1955,M,07/12/1998,
9, ,Body,Ladislav, ,02/05/1949,M,,
10,Ing.,Brodský,Petr, ,29/09/1944,M,,
11,Ing.,Broulík,Jaroslav, ,25/06/1950,M,,
12,Ing.,Brožík,František, ,04/03/1955,M,07/12/1998,
13,Ing.,Budinský,Vladimír, ,25/11/1959,M,,
14,Mgr.,Bumbová,Stanislava, ,08/09/1948,Ž,,
15,MUDr.,Bureš,Eduard, ,24/02/1942,M,,
16,JUDr.,Buzková,Petra, ,07/12/1965,Ž,07/12/1998,
17,JUDr.,Čapek,Miroslav, ,20/09/1961,M,,
18,Ing.,Čechák,Vojtěch, ,28/06/1947,M,,
19,PaedDr.,Čelišová,Květoslava, ,11/04/1946,Ž,07/12/1998,
20,MUDr.,Čerbák,Miroslav, ,23/02/1936,M,,
21,MUDr.,Čermák,Petr,CSc.,22/01/1953,M,,
22,MVDr.,Černý,Jan, ,23/04/1959,M,,
23,Ing.,Červinka,Josef, ,21/10/1951,M,,
24, ,Čundrle,Václav, ,07/04/1944,M,,
25,Ing.,Decker,Jan,CSc.,18/04/1962,M,,
26,Ing.,Dobal,Viktor, ,11/03/1947,M,,
27,MUDr.,Dostál,Robert,CSc.,04/10/1928,M,,
28,Ing.,Doubrava,Vlastimil, ,04/09/1945,M,,
29,Ing.,Drápela,Jiří, ,06/11/1946,M,,
30,Ing.,Effenberger,Josef, ,20/11/1934,M,,
31,RNDr.,Exner,Václav,CSc.,20/09/1942,M,07/12/1998,
32,Ing.,Faifr,Jiří, ,12/10/1962,M,,
33, ,Fejfar,Ota, ,05/06/1960,M,,
34, ,Fejfar,Tomáš, ,16/05/1951,M,,
35, ,Fischerová,Eva, ,08/02/1935,Ž,07/12/1998,
36, ,Frank,Václav, ,01/04/1944,M,13/04/2000,
37, ,Frommer,Alfred, ,07/08/1943,M,,
38,PhDr.,Gjurič,Andrej, ,29/11/1938,M,,
39,JUDr.,Gross,Stanislav, ,30/10/1969,M,30/06/1999,15/04/2015
40,PhDr.,Grulich,Václav, ,08/05/1932,M,07/12/1998,
41, ,Haringer,Jiří, ,14/04/1939,M,,
42,Ing.,Hába,René, ,06/03/1965,M,,
43,JUDr.,Hájek,Jiří, ,30/07/1951,M,,
44,Ing.,Hájek,Josef, ,07/01/1945,M,,
45,Dr. Ing.,Hirš,Pavel,CSc.,11/01/1942,M,,
46,RNDr.,Hofhanzl,Čestmír, ,09/10/1941,M,,
47,Ing.,Holub,Josef, ,12/09/1951,M,,
48,Mgr.,Honajzer,Jiří, ,18/09/1955,M,,
49,JUDr.,Hrazdíra,Antonín, ,03/07/1940,M,,
50,Ing.,Hrdý,Karel, ,07/09/1942,M,,
51,PhDr.,Hubová,Marta, ,19/10/1945,Ž,,
52,Doc. Ing.,Hurta,Josef,CSc.,24/02/1936,M,,
53, ,Chudoba,Martin, ,13/09/1969,M,,
54,MUDr.,Janeček,Josef, ,12/12/1952,M,07/12/1998,
55,MUDr.,Jaroš,Emil, ,21/11/1943,M,,
56,JUDr. Ing.,Jegla,Jan, ,17/12/1944,M,,
57,RNDr.,Ježek,Josef, ,25/11/1940,M,,
58,Ing.,Ježek,Tomáš,CSc.,15/03/1940,M,,
59,JUDr.,Kačenka,František, ,04/04/1948,M,,
60,MUDr.,Kadlecová,Milada, ,19/11/1940,Ž,,
61,PhDr.,Kalus,Jaromír, ,27/12/1947,M,,
62,JUDr.,Kalvoda,Jan, ,30/10/1953,M,,
63,JUDr. Ing.,Karas,Jiří, ,30/07/1942,M,07/12/1998,
64,Ing.,Kasal,Jan, ,06/11/1951,M,07/12/1998,
65,MUDr.,Kašpárek,Miroslav, ,06/04/1940,M,,
66,Ing.,Kavan,Petr, ,28/07/1943,M,,
67,Ing.,Klas,Jan, ,03/04/1958,M,07/12/1998,
68,Ing.,Klučka,Václav, ,20/07/1953,M,,
69, ,Koháček,Petr, ,03/08/1951,M,07/12/1998,
70,Ing.,Kolář,Pavel, ,21/11/1965,M,,
71,Ing.,Kolář,Robert, ,15/05/1959,M,,
72,MUDr.,Kolářová,Milena, ,26/06/1960,Ž,,
73, ,Koronthály,Vladimír, ,20/05/1951,M,,
74,Ing.,Koucký,Jan,,23/06/1953,M,,
75, ,Kozák,Stanislav, ,31/07/1950,M,,
76,PhDr.,Kozel,František, ,16/03/1944,M,,
77,Mgr. Ing.,Kraus,Michal,Ph.D.: MBA,01/10/1957,M,07/12/1998,
78, ,Krámek,Jan, ,18/12/1945,M,,
79, ,Krása,Václav, ,24/11/1951,M,07/12/1998,
80, ,Krupík,Josef, ,07/10/1942,M,,
81,JUDr.,Kryčer,Jan, ,16/11/1955,M,,
82,Ing.,Křížek,Josef,CSc.,24/08/1938,M,,
