1306,Dominik·nskÈ n·mÏstÌ 186/4; Brno; 60200,49.1138919,16.3625823
1307,K¯enov· 67; Brno; 60200,49.1129133,16.3728092
1308,Horsk· 97; Trutnov; 54101,50.3340624,15.5442873
1309,Hybernsk· 1033; Praha 1; 11000,50.0514995,14.2553266
1310,MalostranskÈ n·m. 266/5; Praha 1; 11800,50.0515551,14.2412669
1311,n·m. P¯emysla Otakara II. 186; VysokÈ M˝to; 56601,49.5710647,16.0937723
1312,VrchlickÈho 2078/12; Jihlava; 58601,49.2348617,15.3447006
1313,Javorov· 3102/525; Most; 43401,50.2942357,13.3900298
1317,KvÌtkov· 4323; ZlÌn; 76001,49.1337060,17.4016010
1318,Lannova 13; »eskÈ BudÏjovice; 37001,48.5828337,14.2851237
1319,K¯enov· 67; Brno; 60200,49.1129133,16.3728092
1320,VrchlickÈho 2078/12; Jihlava; 58601,49.2348617,15.3447006
1321,Kamenice 113; N·chod; 54701,50.2502086,16.1002043
1322,Truhl·¯sk· 9; Praha 1; 11000,50.0524834,14.2544286
1323,N·m. Starosty Pavla 15; Kladno; 27201,50.0847788,14.0612833
1324,ätef·nikova 661; ZlÌn; 76001,49.1326465,17.4006269
1325,KorunnÌ 127; Louny; 44001,50.2124832,13.4748512
1326,Holovousy 39; Holovousy; 50801,50.2231106,15.3434251
1327,Masarykovo n·mÏstÌ 138; Slan˝; 27401,50.1353238,14.0514071
1328,Lannova 238; »eskÈ BudÏjovice; 37001,48.5827257,14.2846718
1329,Na KozinÏ 1438; Mlad· Boleslav; 29301,50.2440967,14.5424777
1330,n·m. TGM 33; N·chod; 54701,50.2459929,16.0950091
1331,äilingrovo n·mÏstÌ 257/3; Brno; 60200,49.1133486,16.3621297
1332,Horsk· 97; Trutnov; 54101,50.3340624,15.5442873
1333,KostelnÌ 45; Sokolov; 35801,50.1054163,12.3824576
1334,MÌrovÈ n·mÏstÌ 157/30; LitomÏ¯ice; 41201,50.3204776,14.0754354
1335,Koûeluûsk· 591/21; Olomouc - mÏsto; 77900,49.3548894,17.1520930
1336,»esk· 57; Beroun; 26601,49.5755544,14.0425084
1337,M·nesova 3; Praha 2; 12000,50.0446409,14.2606267
1338,Holick· 31/1; Olomouc; 77200,49.3505679,17.1613552
1339,N·draûnÌ 493/5; éÔ·r nad S·zavou; 59101,49.3341327,15.5621321
1340,Praûsk· 636; DolnÌ B¯eûany; 25241,49.5751900,14.2735400
1341,»eskobratrsk· 1579/4; Ostrava; 70200,49.5026441,18.1730627
1342,Husova 2117; Beneöov; 25601,49.4652521,14.4112884
1343,Politick˝ch vÏzÚ˘ 1531/9; Praha 1; 11121,50.0458572,14.2545625
1344,n·m. Marie PoötovÈ 49; Beroun; 26601,49.5742815,14.0416749
1345,UrËick· 4220/53; ProstÏjov; 79601,49.2750374,17.0607816
1346,n·m. Dr. E. Beneöe 5/13; Liberec; 46001,50.4608598,15.0327731
1347,äilingrovo n·mÏstÌ 257/3; Brno; 60200,49.1133486,16.3621297
1348,Hlav·Ëkovo n·mÏstÌ 217; ProstÏjov; 79601,49.2822253,17.0650832
1349,Fr˝deck· 410; T¯inec - StarÈ mÏsto; 73961,49.4049178,18.3958432
1350,SnÏmovnÌ 4; Praha 1; 11826,50.0523067,14.2414245
1351,»ÈËova 689/11; »eskÈ BudÏjovice; 37004,48.5919122,14.2816321
1352,BrnÏnsk· 599/28; Jihlava; 58601,49.2338040,15.3539400
1353,Husovo n·m. 74/5; DÏËÌn; 40502,50.4628679,14.1150896
1354,Koll·rova 158; Kutn· Hora; 28401,49.5659100,15.1603800
1355,N·b¯eûÌ 599; ZlÌn -PrötnÈ; 76001,49.1314711,17.3812700
1356,Sokolsk· 2048/28; Znojmo; 66902,48.5131133,16.0311816
1357,M·chova 613; Mlad· Boleslav; 29301,50.2526506,14.5451144
1358,OsvobozenÌ 879; Orlov· - LutynÏ; 73514,49.5213314,18.2549283
1359,Polsk· 120; Karvin·; 73401,49.5037797,18.3340563
1360,BezruËova 496; Mlad· Boleslav; 29301,50.2516100,14.5420408
1362,Milady Hor·kovÈ 373; Svitavy - p¯edmÏstÌ; 56802,49.4526176,16.2817483
1363,MÌrov· 163/29; Ostrava; 70300,49.4850865,18.1610654
1364,Akademika Bedrny 89; Hradec Kr·lovÈ; 50003,50.1310532,15.4958915
1365,Karlovo n·mÏstÌ 317 /5; Praha - NovÈ MÏsto; 12000,50.0427436,14.2506064
1366,n·m. Dr. E. Beneöe 4/12; Liberec; 46007,50.4608328,15.0328321
1367,BÏlohorsk· 186/161; Praha 6; 16900,50.0458886,14.2132014
1368,KlÌösk· 2058/33; ⁄stÌ nad Labem; 40001,50.3947881,14.0140388
1369,Masarykovo n·m. 201; Uhersk˝ Brod; 68801,49.0128380,17.3840607
1370,Netuöilova 1623/1; ProstÏjov; 79601,49.2819516,17.0652885
1371,n·m. Dr. E. Beneöe 5/13; Liberec; 46001,50.4608598,15.0327731
1372,P¯emysla Otakara II. 2476; Uhersk˝ Brod; 68801,49.0136142,17.3847321
1373,DobÏtick· 2333/10; ⁄stÌ nad Labem; 40001,50.3943150,14.0244848
1374,Boleslavsk· 31; Brand˝s nad Labem - Star· Boleslav; 25001,50.1146911,14.4033365
1375,Kate¯insk· 86/11; Olomouc; 77900,49.3526021,17.1515702
1376,Jaselsk· 205/25; Brno; 60200,49.1157606,16.3557980
1377,Houökova 822/35; PlzeÚ; 32601,49.4414349,13.2331088
1378,äirok· 29/IV; Chrudim; 53716,49.5709886,15.4728402
1379,Houökova 822/35; PlzeÚ; 32600,49.4414349,13.2331088
